model,epoch,train_accuracy,test_accuracy,f1_score,train_loss,test_loss,train_time_per_step,eval_time_per_step
fc-with-batch-normalization,1,0.24107705227797607,0.29120302330463993,0.3018656255752163,0.0040826736917121305,0.0044180424354067875,0.17831523794876902,0.1909780263900757
fc-with-batch-normalization,2,0.29639932815452447,0.2876338442158304,0.2758825770858325,0.0038529307670060664,0.004156533269704002,0.17424892751794113,0.19224464893341064
fc-with-batch-normalization,3,0.3312513121981944,0.29477220239344953,0.2794224499438363,0.0037330869001023738,0.004126131897485234,0.174373281629462,0.19316246509552001
fc-with-batch-normalization,4,0.380065085030443,0.3136678563930296,0.30246201555268504,0.003628520386924319,0.004132037675358182,0.17620685226038882,0.19584360122680664
fc-with-batch-normalization,5,0.42772412345160615,0.3342431240814613,0.32501900742421996,0.003560981416612169,0.004124056960063248,0.1869768029765079,0.20395181179046631
fc-with-batch-normalization,6,0.4659353348729792,0.3376023514591644,0.3301892804664993,0.003493933737240442,0.004146741088788699,0.19001829624176025,0.2041093349456787
fc-with-batch-normalization,7,0.511757295821961,0.34747008188116735,0.33509702597566,0.00344075045739806,0.004150190049050712,0.18422085360476845,0.202325177192688
fc-with-batch-normalization,8,0.5663447407096368,0.3558681503254251,0.3488884490106853,0.0033699624144978416,0.00415182849476374,0.1821344777157432,0.2182476758956909
fc-with-batch-normalization,9,0.6092798656309049,0.3693050598362377,0.361545300504972,0.0033222526881265813,0.004170193658164387,0.18584467235364413,0.22211070060729982
fc-with-batch-normalization,10,0.6811883266848625,0.37707327314717615,0.36622424845108215,0.0032411414223410067,0.004174252680662973,0.18843675914563632,0.2222598075866699
fc-with-batch-normalization,11,0.7214465672895234,0.37518370774721815,0.36235496199904327,0.0031929779723489982,0.004196271810265316,0.19989509331552605,0.2240539312362671
fc-with-batch-normalization,12,0.7502624396388831,0.3884106655469242,0.376953391796088,0.003158519730056356,0.004206902535803149,0.200154699777302,0.2555718898773193
fc-with-batch-normalization,13,0.7751942053327735,0.3888305689691371,0.37683470000847696,0.003135155360037455,0.004211778078113262,0.20360576479058518,0.2564049959182739
fc-with-batch-normalization,14,0.7992861641822381,0.3884106655469242,0.37563598688652194,0.0031068076763036945,0.004240558474298638,0.20336381385200902,0.23714630603790282
fc-with-batch-normalization,15,0.8137728322485829,0.39260969976905313,0.3794971301777007,0.003091947298552493,0.00424600223170442,0.19966510722511693,0.24089453220367432
fc-with-batch-normalization,16,0.8244278815872349,0.3957589754356498,0.38274143022501583,0.0030792531861043543,0.004256352015761,0.20182553717964574,0.2324434757232666
fc-with-batch-normalization,17,0.8347155154314507,0.39197984463573377,0.37829777993134994,0.0030710406659306684,0.004267479075420411,0.19986409890024284,0.23198821544647216
fc-with-batch-normalization,18,0.8462103716145286,0.3938694100356918,0.37997728509853607,0.003062294688566177,0.004280466055284396,0.2002592400500649,0.23172082901000976
fc-with-batch-normalization,19,0.8503569179088809,0.3936594583245853,0.3793950796342213,0.003056817143098061,0.004288085939101805,0.20198704067029452,0.23639953136444092
fc-with-batch-normalization,20,0.8564980054587444,0.3915599412135209,0.37662924505913215,0.0030520756205114877,0.004294499714234885,0.20297482139185855,0.23556089401245117
fc-with-batch-normalization,21,0.8576002519420534,0.39533907201343693,0.3804988095402674,0.0030500940194831735,0.004298888007657958,0.20026971164502597,0.23621037006378173
fc-with-batch-normalization,22,0.8620617258030653,0.3936594583245853,0.37879085839176924,0.003045180290405575,0.004301514516426389,0.20134152864155017,0.23900878429412842
fc-with-batch-normalization,23,0.8641612429141298,0.39260969976905313,0.3782605617983424,0.003042867516310005,0.004300556587316948,0.20203707720104017,0.24364857673645018
fc-with-batch-normalization,24,0.864948561830779,0.3938694100356918,0.37876532486713554,0.003040951226354772,0.004303195109618654,0.2012589040555452,0.23885276317596435
fc-with-batch-normalization,25,0.8667856393029603,0.39512912030233044,0.3800152565634326,0.003040061718071556,0.0043064717007063776,0.19888994568272642,0.2304633617401123
